Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
33	-58351.64	-58374.02	22.37329	0.0723783	0.0723783	0.0723783	0.0723783	0.137982	0.137982	0.137982	0.137982	-2.625849	0.6452138	0.008867367	0.3751811	0.008508308	0.01480683	0.005832569	0.01491246	2.083076e-07	0.01455683	0.04687196	0.002958166	0.0429928	0.111895	0.0166548	0.0213206	0.0969509	0.204285	0.279316	0.226584	0.140619	0.140619	0.140619	0.140619	0.433749	0.433749	0.433749	0.433749	-1.9617	1.126412
34	-58240.47	-58263.09	22.62279	0.0723783	0.0723783	0.0723783	0.0723783	0.0442265	0.0442265	0.0442265	0.0442265	-2.625849	-0.4925821	0.007019651	0.3751811	0.008508308	0.01480683	0.006858329	0.01491246	5.867511e-08	0.01455683	0.0527292	0.003129381	0.051543	0.105737	0.019967	0.0255608	0.116232	0.244913	0.1644	0.271647	0.115936	0.115936	0.115936	0.115936	0.499158	0.499158	0.499158	0.499158	-2.154715	1.459882
35	-58195.04	-58219.07	24.03492	0.0960778	0.0960778	0.0960778	0.0960778	0.149936	0.149936	0.149936	0.149936	-2.342597	0.4450532	0.02497164	0.4433721	0.008508308	0.0009359123	0.02181429	0.005634704	5.867511e-08	0.0101785	0.0527292	0.003129381	0.0513503	0.105342	0.0198924	0.0254653	0.115798	0.247735	0.163786	0.270631	0.115936	0.115936	0.115936	0.115936	0.519024	0.519024	0.519024	0.519024	-2.154715	1.498909
36	-58246.03	-58267.04	21.01351	0.035936	0.035936	0.035936	0.035936	0.0560807	0.0560807	0.0560807	0.0560807	-3.326017	0.4450532	0.02497164	0.4433721	0.009503943	0.005963437	0.02181429	0.003827837	2.205031e-07	0.04106095	0.2252504	0.001353356	0.166023	0.0800483	0.015116	0.0193508	0.0879934	0.455138	0.124459	0.0518715	0.0958754	0.0958754	0.0958754	0.0958754	0.429215	0.429215	0.429215	0.429215	-2.344706	1.498909
37	-58383.71	-58404.23	20.52731	0.0915628	0.0915628	0.0915628	0.0915628	0.14289	0.14289	0.14289	0.14289	-2.39073	0.4450532	0.09219351	0.4663229	0.008591863	0.005963437	0.04482212	0.01164039	2.944146e-07	0.06851188	0.0547467	0.00224853	0.149757	0.0722056	0.013635	0.00713844	0.0793724	0.410546	0.220556	0.0467894	0.0958754	0.0958754	0.0958754	0.0958754	0.457558	0.457558	0.457558	0.457558	-2.344706	1.562854
38	-58433.25	-58452.98	19.73398	0.0585164	0.0585164	0.0585164	0.0585164	0.0913192	0.0913192	0.0913192	0.0913192	-2.838447	0.4450532	0.09532734	0.2626958	0.008591863	0.005963437	0.006394011	0.01164039	6.61124e-07	0.06851188	0.017167	0.1167955	0.0330248	0.085717	0.0161865	0.00847421	0.0942248	0.487369	0.219459	0.0555448	0.0733073	0.0733073	0.0733073	0.0733073	0.349853	0.349853	0.349853	0.349853	-2.613095	1.562854
39	-58041.43	-58059.52	18.09217	0.0318309	0.0318309	0.0318309	0.0318309	0.0496745	0.0496745	0.0496745	0.0496745	-3.447317	0.4450532	0.0244467	0.2173283	0.008591863	0.005963437	0.02557122	0.01164039	9.584734e-06	0.06851188	0.03538939	0.01630013	0.0332791	0.143881	0.0163111	0.00853946	0.0949504	0.491122	0.155945	0.0559726	0.0615964	0.0615964	0.0615964	0.0615964	0.293964	0.293964	0.293964	0.293964	-2.787152	1.562854
40	-58019.5	-58033.65	14.15493	0.00873865	0.00873865	0.00873865	0.00873865	0.0136373	0.0136373	0.0136373	0.0136373	-4.74	0.4450532	0.05501305	0.1385705	0.008591863	0.01127908	0.02557122	0.01164039	0.001938218	0.01259691	0.08148133	0.01630013	0.0291259	0.144769	0.0164118	0.00859216	0.0328671	0.494152	0.156907	0.117175	0.0607053	0.0607053	0.0607053	0.0607053	0.230907	0.230907	0.230907	0.230907	-2.801724	1.335983
41	-57919.2	-57933.45	14.24761	0.0238034	0.0238034	0.0238034	0.0238034	0.0212173	0.0212173	0.0212173	0.0212173	-3.737927	-0.1150127	0.05238214	0.217578	0.008591863	0.01127908	0.02557122	0.008502953	0.03027963	0.01259691	0.08148133	0.01630013	0.0480218	0.23869	0.0270592	0.0141665	0.0541903	0.165975	0.258703	0.193194	0.0642482	0.0642482	0.0642482	0.0642482	0.269243	0.269243	0.269243	0.269243	-2.745001	1.432858
42	-57961.13	-57977.79	16.66572	0.0439341	0.0439341	0.0439341	0.0439341	0.0391609	0.0391609	0.0391609	0.0391609	-3.125064	-0.1150127	0.007331963	0.1397759	0.008591863	0.01127908	0.01512165	0.001886033	0.03197247	0.003090988	0.05513751	0.01630013	0.0475998	0.236592	0.0268214	0.014042	0.0625017	0.164517	0.25643	0.191497	0.0642482	0.0642482	0.0642482	0.0642482	0.309121	0.309121	0.309121	0.309121	-2.745001	1.570978
