Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
30	-57756.63	-57757.46	0.8317148	0.00722026	0.0234496	0.0114758	0.0286675	0.00352338	0.0114431	0.00560002	0.0139893	-4.93086	-3.7529	-4.46751	-3.55199	-0.71747	-2.05142	0.001279282	0.13352	0.007972744	0.002739175	0.02035126	0.01033708	0.0180091	0.01533358	0.06145863	0.002324645	0.000513008	0.241377	0.0526506	0.0711741	0.035706	0.511023	0.0269057	0.0606504	0.0714385	0.0806559	0.0646033	0.067195	0.236916	0.267484	0.214248	0.222843	-2.63892	-2.51756	-2.73949	-2.70016	1.19887	1.29061
31	-57770.56	-57773.71	3.152164	0.00722026	0.0289434	0.0242965	0.0189293	0.00352338	0.014124	0.0118563	0.00923719	-4.93086	-3.54241	-3.71742	-3.96705	-0.71747	-1.58552	0.00358431	0.13352	0.008830138	0.002906024	0.02035126	0.01025737	0.01878173	0.02902581	0.05422808	0.0009455561	0.000346061	0.455341	0.0355167	0.180035	0.0240863	0.245612	0.0181499	0.0409131	0.0690873	0.0798615	0.0626935	0.067195	0.223591	0.25846	0.202898	0.217467	-2.67238	-2.52746	-2.7695	-2.70016	1.17445	0.643895
32	-57769.75	-57775.95	6.200217	0.0123552	0.0289434	0.0174863	0.0551682	0.00602916	0.014124	0.00853306	0.0269212	-4.39368	-3.54241	-4.04634	-2.89737	-0.71747	0.658165	0.001529559	0.1413249	0.007410288	0.002906024	0.01992136	0.01025737	0.01880556	0.01250437	0.04750123	0.0009455561	0.000428878	0.329339	0.0440163	0.218778	0.0298504	0.30439	0.0224934	0.0507041	0.0690873	0.0758046	0.0626935	0.067195	0.22225	0.243859	0.201681	0.216162	-2.67238	-2.5796	-2.7695	-2.70016	1.16843	0.643895
33	-57766.46	-57768.59	2.12861	0.00719067	0.00620471	0.0174863	0.0625298	0.00207448	0.00179004	0.00504474	0.0180396	-4.93497	-5.08245	-4.04634	-2.77211	-1.24307	0.658165	0.0008545859	0.1326877	0.007410288	0.002830498	0.0300114	0.006870076	0.03524691	0.009790201	0.05408126	0.0005074719	0.0453018	0.314554	0.0420403	0.208956	0.0285104	0.290725	0.0214836	0.0484279	0.0690873	0.0777226	0.0626935	0.0698145	0.228246	0.256774	0.207122	0.230648	-2.67238	-2.55461	-2.7695	-2.66191	1.19505	1.13085
34	-57775.26	-57777.28	2.018128	0.00719067	0.0341763	0.0265029	0.0702848	0.00071645	0.00340519	0.00264064	0.0070029	-4.93497	-3.37622	-3.6305	-2.6552	-2.30623	-1.66903	0.003520051	0.1242121	0.01132834	0.003310072	0.0300114	0.00628541	0.02525591	0.01243178	0.05647477	0.0002931969	0.0503669	0.358037	0.0467408	0.23232	0.0316981	0.20311	0.0238857	0.0538427	0.0662152	0.0787454	0.0727231	0.0698145	0.218757	0.260153	0.240257	0.230648	-2.71485	-2.54154	-2.6211	-2.66191	1.19505	1.13085
35	-57785.24	-57784.12	-1.123357	0.00719067	0.00955608	0.0076641	0.0451321	0.00071645	0.00095213	0.00076362	0.00449678	-4.93497	-4.65058	-4.87121	-3.09816	-2.30623	-1.54676	0.007456005	0.1260129	0.01132834	0.005036186	0.02548457	0.007348816	0.02525591	0.01412338	0.05647477	0.0001265539	0.0496731	0.353104	0.0460969	0.229119	0.0450377	0.200311	0.0235566	0.0531009	0.0662152	0.0853759	0.0606472	0.0714395	0.209618	0.270275	0.191991	0.226157	-2.71485	-2.46069	-2.80268	-2.6389	1.15238	1.13085
36	-57775.77	-57776.71	0.9377817	0.010004	0.00955608	0.00438131	0.0451321	0.0027663	0.00264244	0.00121151	0.0124799	-4.60477	-4.65058	-5.43041	-3.09816	-1.28548	-0.501573	0.004655931	0.1154169	0.01298115	0.005228576	0.02702576	0.007348816	0.02525591	0.01412338	0.05647477	0.0004167724	0.30871	0.245333	0.0320276	0.15919	0.0312917	0.139174	0.0163669	0.0679067	0.0696104	0.0695143	0.0658094	0.0725696	0.241821	0.241488	0.228617	0.252101	-2.66484	-2.66622	-2.72099	-2.62321	1.24529	0.622848
37	-57775.44	-57779.96	4.518549	0.010004	0.0179323	0.0199374	0.0909834	0.00201616	0.00361398	0.00401808	0.0183363	-4.60477	-4.02115	-3.91516	-2.39708	-1.60179	-0.501573	0.004725835	0.1096991	0.01182229	0.005228576	0.02702576	0.006566221	0.02525591	0.01412338	0.05647477	0.0003441243	0.226159	0.179729	0.0240433	0.176569	0.0229241	0.101958	0.218869	0.049748	0.0692388	0.0695143	0.0593787	0.0637027	0.24053	0.241488	0.206277	0.221299	-2.67019	-2.66622	-2.82382	-2.75353	1.24529	0.451873
38	-57790.84	-57799.21	8.367725	0.010004	0.0179323	0.0213571	0.119742	0.00463112	0.00830131	0.00988674	0.0554317	-4.60477	-4.02115	-3.84637	-2.12242	-0.770188	-1.24029	0.002522308	0.1053233	0.01182229	0.005228576	0.01848272	0.006566221	0.009769452	0.01338986	0.0319279	3.436735e-06	0.20319	0.0513758	0.10759	0.158637	0.0205959	0.0916031	0.196641	0.170368	0.0660656	0.070898	0.0687469	0.0717184	0.22226	0.238518	0.231281	0.241278	-2.71711	-2.64651	-2.67732	-2.63501	1.2132	0.451873
39	-57760.64	-57763.75	3.116673	0.010004	0.00484771	0.0353896	0.0882044	0.0011849	0.000574177	0.00419164	0.0104472	-4.60477	-5.32925	-3.34134	-2.4281	-2.13332	-1.79719	0.002522308	0.1514895	0.00941785	0.005228576	0.02792996	0.006379332	0.009769452	0.01480804	0.04869511	3.436735e-06	0.218336	0.0552054	0.11561	0.0959193	0.0221311	0.0984314	0.211299	0.183068	0.0664893	0.0716908	0.0617232	0.0628142	0.238789	0.25747	0.221673	0.225591	-2.71071	-2.63539	-2.7851	-2.76757	1.27854	0.576265
40	-57758.23	-57764.7	6.47148	0.0115169	0.0108443	0.0156363	0.0882044	0.0074255	0.00699178	0.0100814	0.0568694	-4.46394	-4.52412	-4.15816	-2.4281	-0.4389	-1.79719	0.004411367	0.1597864	0.00941785	0.002424365	0.0299889	0.009137626	0.02569632	0.02070062	0.05416929	5.530849e-07	0.176001	0.0947907	0.0931931	0.0773205	0.0178399	0.0793455	0.313939	0.147571	0.0696858	0.0716908	0.0617232	0.0680407	0.276745	0.284707	0.245123	0.270211	-2.66376	-2.63539	-2.7851	-2.68765	1.3791	0.576265
41	-57787.73	-57796.28	8.554863	0.0263899	0.0108695	0.0349478	0.0189149	0.0170147	0.00700807	0.0225325	0.0121953	-3.63478	-4.52179	-3.3539	-3.96781	-0.4389	-1.00061	0.00390943	0.1474752	0.00941785	0.002236228	0.02383919	0.009137626	0.02569632	0.02063553	0.08735829	4.299602e-07	0.131968	0.0704767	0.0692889	0.0657763	0.0132639	0.306095	0.233413	0.109719	0.0729728	0.0716908	0.0617232	0.0446291	0.289798	0.284707	0.245123	0.177237	-2.61767	-2.63539	-2.7851	-3.10937	1.3791	0.369784
42	-57789.77	-57797.21	7.445667	0.0263899	0.0118322	0.0299796	0.0235826	0.0106804	0.00478868	0.0121332	0.00954426	-3.63478	-4.43693	-3.50724	-3.74724	-0.904571	1.61849	0.002940324	0.1447665	0.00897316	0.0007316823	0.02383919	0.0109715	0.02405448	0.02063553	0.06784622	4.299602e-07	0.103424	0.0552332	0.0543023	0.267841	0.0103951	0.239889	0.182928	0.0859874	0.0578505	0.0716908	0.0617232	0.0446291	0.229743	0.284707	0.245123	0.177237	-2.84989	-2.63539	-2.7851	-3.10937	1.3791	1.21786
