Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
55	-56486.62	-56485.29	-1.332082	0.0513941	0.0513941	0.0127599	0.0127599	-2.968231	-1.393218	1.260612	0.8414387	0.0009831351	0.04398143	0.136337	0.183813	0.0196212	0.660229	0.0804814	0.0804814	0.152158	0.152158	-2.51973	0.6368953
56	-56486.19	-56482.05	-4.137646	0.0172733	0.0172733	0.0307453	0.0307453	-4.058594	0.5765749	3.364063	1.480614	0.0009831351	0.04398143	0.136337	0.183813	0.0196212	0.660229	0.084078	0.084078	0.147615	0.147615	-2.47601	0.5628641
57	-56486.84	-56486.24	-0.5965714	0.0318417	0.0318417	0.0566761	0.0566761	-3.446978	0.5765749	0.7056033	0.6166161	0.0009555617	0.07560612	0.136337	0.183813	0.0196212	0.660229	0.0848407	0.0848407	0.207496	0.207496	-2.46698	0.8943378
58	-56531.94	-56532.33	0.3894933	0.0258832	0.0258832	0.0460704	0.0460704	-3.65416	0.5765749	0.5126862	0.6166161	0.001443842	0.006654209	0.136337	0.183813	0.0196212	0.660229	0.0824825	0.0824825	0.221865	0.221865	-2.495169	0.9894815
59	-56359.97	-56357.94	-2.037535	0.00822515	0.00822515	0.0146402	0.0146402	-4.800559	0.5765749	0.4369196	0.7424353	0.004509152	0.01017252	0.296528	0.256251	0.0216718	0.42555	0.0824825	0.0824825	0.221865	0.221865	-2.495169	0.9894815
60	-56471.55	-56469.38	-2.167824	0.00747352	0.00747352	0.0122556	0.0122556	-4.896389	0.4946192	0.5218678	0.9971187	0.004509152	0.01017252	0.248331	0.118706	0.101753	0.53121	0.0824825	0.0824825	0.157698	0.157698	-2.495169	0.6480982
61	-56466.36	-56463.94	-2.421119	0.008952	0.008952	0.0176188	0.0176188	-4.715879	0.6770883	1.866004	0.1201414	0.004509152	0.01801988	0.195384	0.0933971	0.0667757	0.644443	0.0824825	0.0824825	0.11816	0.11816	-2.495169	0.3594556
62	-56456.14	-56457.15	1.014642	0.037117	0.037117	0.0730514	0.0730514	-3.293681	0.6770883	0.2103249	0.2206396	0.004509152	0.01801988	0.174702	0.189367	0.0597071	0.576224	0.135367	0.135367	0.164746	0.164746	-1.999769	0.1964217
63	-56456.37	-56454.25	-2.124801	0.0430627	0.0430627	0.126271	0.126271	-3.145098	1.075778	0.2103249	2.520596	0.005012728	0.04022219	0.02224	0.749741	0.0214085	0.20661	0.135367	0.135367	0.183968	0.183968	-1.999769	0.3067752
64	-56644.27	-56641.99	-2.287347	0.0365551	0.0365551	0.107189	0.107189	-3.308935	1.075778	0.07525012	2.371416	0.005012728	0.04022219	0.188828	0.622003	0.017761	0.171409	0.181675	0.181675	0.313878	0.313878	-1.705537	0.5467871
65	-56605.19	-56604.95	-0.2376621	0.027268	0.027268	0.0369824	0.0369824	-3.602043	0.3047296	0.1493308	0.7864501	0.001310532	0.09916745	0.127556	0.420172	0.262216	0.190056	0.14318	0.14318	0.247372	0.247372	-1.94365	0.5467871
66	-56461.53	-56461	-0.5354532	0.0848455	0.0848455	0.115072	0.115072	-2.466924	0.3047296	0.3165686	1.318003	0.004413552	0.03124933	0.148448	0.48899	0.141378	0.221184	0.14318	0.14318	0.31015	0.31015	-1.94365	0.7729511
67	-56318.58	-56317	-1.581091	0.0367355	0.0367355	0.0498228	0.0498228	-3.304011	0.3047296	0.1307026	1.692141	0.005818846	0.03124933	0.103487	0.340888	0.401432	0.154193	0.116128	0.116128	0.379766	0.379766	-2.15306	1.18486
68	-56430.84	-56429.8	-1.040339	0.0405151	0.0405151	0.0549489	0.0549489	-3.206081	0.3047296	0.2157303	1.157925	0.005818846	0.02972556	0.0684405	0.362013	0.0996579	0.469888	0.0829157	0.0829157	0.271153	0.271153	-2.489931	1.18486
69	-56457.82	-56456.2	-1.619436	0.0405151	0.0405151	0.134201	0.134201	-3.206081	1.197665	0.2440324	1.157925	0.005818846	0.02972556	0.0699648	0.370076	0.101877	0.458082	0.0944967	0.0944967	0.276958	0.276958	-2.35919	1.075302
70	-56267.82	-56267.19	-0.6340945	0.0730421	0.0730421	0.118052	0.118052	-2.616719	0.4800893	0.1205623	0.5083691	0.01011818	0.02972556	0.446197	0.309551	0.0852156	0.159037	0.079907	0.079907	0.331667	0.331667	-2.526892	1.423268
71	-56313.59	-56313.01	-0.5757046	0.0877089	0.0877089	0.124569	0.124569	-2.433732	0.3508363	0.1437977	0.5083691	0.01011818	0.02972556	0.380476	0.263957	0.300542	0.0550253	0.079907	0.079907	0.331667	0.331667	-2.526892	1.423268
72	-55929.51	-55929.41	-0.09806148	0.0330114	0.0330114	0.0468845	0.0468845	-3.410904	0.3508363	0.0278055	0.2919962	0.003180708	0.02972556	0.269786	0.307913	0.320275	0.102026	0.079907	0.079907	0.335002	0.335002	-2.526892	1.433274
73	-56131.23	-56128.17	-3.063788	0.0145605	0.0145605	0.119325	0.119325	-4.229442	2.103534	0.1172408	0.345436	0.002049276	0.02972556	0.0675701	0.393182	0.408968	0.13028	0.079907	0.079907	0.335002	0.335002	-2.526892	1.433274
74	-56097.67	-56094.26	-3.414805	0.0145605	0.0145605	0.119325	0.119325	-4.229442	2.103534	0.09764383	0.2964747	0.005215735	0.02972556	0.0725677	0.422263	0.439216	0.0659539	0.0706546	0.0706546	0.274781	0.274781	-2.649952	1.358171
75	-56180.64	-56178.39	-2.249753	0.0248375	0.0248375	0.203545	0.203545	-3.695401	2.103534	0.06438796	0.3729527	0.005215735	0.01061486	0.151644	0.15927	0.551263	0.137823	0.0888847	0.0888847	0.345679	0.345679	-2.420415	1.358171
76	-56287.98	-56284.03	-3.95072	0.0248375	0.0248375	0.203545	0.203545	-3.695401	2.103534	0.04956058	0.6777959	0.005598628	0.08493236	0.131544	0.372457	0.173695	0.322304	0.0864988	0.0864988	0.43571	0.43571	-2.447624	1.616847
77	-56440.42	-56434.52	-5.907397	0.0137184	0.0137184	0.112424	0.112424	-4.289014	2.103534	0.5473994	1.039584	0.009470965	0.08493236	0.168195	0.197609	0.222091	0.412106	0.0562194	0.0562194	0.283188	0.283188	-2.878493	1.616847
78	-56402.97	-56401.59	-1.378949	0.0419454	0.0419454	0.107025	0.107025	-3.171387	0.9366936	0.3600671	0.7065791	0.009470965	0.01117102	0.107382	0.354044	0.275471	0.263103	0.0562248	0.0562248	0.283215	0.283215	-2.878397	1.616847
79	-56352.11	-56351.04	-1.075767	0.0419454	0.0419454	0.0337841	0.0337841	-3.171387	-0.2163777	0.3600671	0.7065791	0.009470965	0.01117102	0.131945	0.206286	0.338483	0.323286	0.0562248	0.0562248	0.316813	0.316813	-2.878397	1.728954
80	-56361.91	-56360.69	-1.220714	0.0228417	0.0228417	0.00898989	0.00898989	-3.779167	-0.9324875	0.3600671	0.3924812	0.009470965	0.01117102	0.118452	0.0790734	0.188455	0.61402	0.0618692	0.0618692	0.227308	0.227308	-2.782732	1.301284
81	-56127.88	-56125.9	-1.979026	0.0228417	0.0228417	0.0217392	0.0217392	-3.779167	-0.04947278	0.08587916	0.3475801	0.007541279	0.08687787	0.122801	0.0999567	0.110079	0.667163	0.0548088	0.0548088	0.325126	0.325126	-2.903904	1.780361
82	-56276.13	-56274.18	-1.945177	0.0228417	0.0228417	0.0217392	0.0217392	-3.779167	-0.04947278	0.1718053	0.7627775	0.002808305	0.08687787	0.0934073	0.327971	0.08373	0.494892	0.0601102	0.0601102	0.356573	0.356573	-2.811576	1.780361
83	-56412.09	-56412.61	0.5183522	0.0768432	0.0768432	0.0731341	0.0731341	-2.565988	-0.04947278	0.1718053	0.4408858	0.0001682485	0.09028108	0.163478	0.302622	0.0772585	0.456641	0.0601102	0.0601102	0.356573	0.356573	-2.811576	1.780361
84	-56375.03	-56374.57	-0.4590668	0.0776419	0.0776419	0.0738942	0.0738942	-2.555649	-0.04947278	0.2109866	0.538416	0.001666361	0.07713873	0.492723	0.149698	0.118084	0.239495	0.0601102	0.0601102	0.287988	0.287988	-2.811576	1.566741
85	-56319.28	-56318.89	-0.3871861	0.0776419	0.0776419	0.0738942	0.0738942	-2.555649	-0.04947278	0.2872862	0.7375264	0.001666361	0.04582308	0.492723	0.149698	0.118084	0.239495	0.072763	0.072763	0.348608	0.348608	-2.620548	1.566741
86	-56712.91	-56711.79	-1.120684	0.0776419	0.0776419	0.0134832	0.0134832	-2.555649	-1.750661	0.2872862	0.7375264	0.001666361	0.00673053	0.504446	0.129468	0.120893	0.245193	0.072763	0.072763	0.425993	0.425993	-2.620548	1.767216
87	-56389.55	-56385.05	-4.497182	0.0216117	0.0216117	0.00172476	0.00172476	-3.834518	-2.528152	0.5224106	0.7375264	0.001666361	0.01363252	0.313486	0.45901	0.0751289	0.152374	0.0377028	0.0377028	0.220732	0.220732	-3.27802	1.767216
88	-56582.44	-56577.21	-5.236191	0.0216117	0.0216117	0.00284453	0.00284453	-3.834518	-2.02784	0.8040235	3.093274	0.0003024638	0.02568388	0.314784	0.46091	0.0754398	0.148867	0.0579052	0.0579052	0.339008	0.339008	-2.848948	1.767216
89	-56471.96	-56465.15	-6.809357	0.0204217	0.0204217	0.0026879	0.0026879	-3.891155	-2.02784	1.618034	3.051294	0.0009558619	0.02568388	0.507847	0.0547207	0.260727	0.176705	0.0456871	0.0456871	0.281056	0.281056	-3.085939	1.816737
90	-56460.27	-56454.91	-5.356271	0.0364656	0.0364656	0.00479959	0.00479959	-3.311385	-2.02784	0.9484444	0.9301068	0.009653971	0.09350015	0.123819	0.0133415	0.0635681	0.799272	0.0372859	0.0372859	0.201581	0.201581	-3.28914	1.687578
91	-56524.24	-56519.35	-4.895221	0.149717	0.149717	0.0197057	0.0197057	-1.899007	-2.02784	0.9484444	1.049151	0.009653971	0.07755019	0.203022	0.298008	0.104231	0.39474	0.0497242	0.0497242	0.268827	0.268827	-3.001264	1.687578
92	-56576.74	-56573.76	-2.981013	0.0870383	0.0870383	0.011456	0.011456	-2.441406	-2.02784	0.9484444	0.7696896	0.004029419	0.00551337	0.0933354	0.220019	0.0769538	0.609691	0.0332704	0.0332704	0.179872	0.179872	-3.403087	1.687578
93	-56747.41	-56743.33	-4.07702	0.0295205	0.0295205	0.0241969	0.0241969	-3.52267	-0.1988618	1.649594	0.2444941	0.02252955	0.1023745	0.111223	0.0705397	0.0917016	0.726536	0.0334075	0.0334075	0.180614	0.180614	-3.398974	1.687578
94	-56800.96	-56792.31	-8.655334	0.00518698	0.00518698	0.00870441	0.00870441	-5.261604	0.5176784	2.019734	1.770782	0.02965576	0.1023745	0.111223	0.0705397	0.0917016	0.726536	0.04442	0.04442	0.240151	0.240151	-3.114066	1.687578
95	-56401.17	-56398.11	-3.051789	0.0158677	0.0158677	0.00791696	0.00791696	-4.143469	-0.6952789	0.7325086	1.023356	0.01106383	0.01042465	0.109395	0.0693808	0.106624	0.7146	0.044137	0.044137	0.238621	0.238621	-3.120456	1.687578
96	-56757.78	-56754.8	-2.984016	0.0443269	0.0443269	0.0792389	0.0792389	-3.116165	0.5808767	0.5171292	0.2710409	0.02381633	0.1700983	0.604805	0.0307869	0.0473132	0.317095	0.044137	0.044137	0.238621	0.238621	-3.120456	1.687578
