Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
59	-56431.48	-56431.61	0.1297143	0.0339748	0.0339748	0.0190973	0.0190973	-3.382136	-0.5760723	0.003785479	0.2256631	0.004965231	0.01631583	0.0044272	0.506369	0.181679	0.307525	0.0836836	0.0836836	0.309907	0.309907	-2.480712	1.309229
60	-56420.29	-56419.49	-0.7928419	0.0125742	0.0125742	0.00706796	0.00706796	-4.376112	-0.5760723	0.003785479	0.1472056	0.004016546	0.01495061	0.00282684	0.553094	0.247719	0.19636	0.0719978	0.0719978	0.266631	0.266631	-2.63112	1.309229
61	-56447.1	-56445.87	-1.224856	0.0109583	0.0109583	0.0181978	0.0181978	-4.513659	0.507205	0.007147146	0.126598	0.004016546	0.02608718	0.0101229	0.202554	0.0841592	0.703164	0.0776324	0.0776324	0.287497	0.287497	-2.55577	1.309229
62	-56495.68	-56492.19	-3.497129	0.0109583	0.0109583	0.0670239	0.0670239	-4.513659	1.810952	0.01997138	0.1803621	0.01102405	0.03484346	0.00739675	0.417311	0.0614946	0.513797	0.082066	0.082066	0.315631	0.315631	-2.500232	1.347052
63	-56451.84	-56450.37	-1.466565	0.0109583	0.0109583	0.0092849	0.0092849	-4.513659	-0.1657065	0.01997138	0.1857627	0.007700042	0.02627726	0.0091236	0.28015	0.0769774	0.633749	0.0663563	0.0663563	0.225796	0.225796	-2.712717	1.224595
64	-56400.75	-56399.44	-1.309701	0.0107546	0.0107546	0.0079393	0.0079393	-4.532424	-0.3035065	0.01110335	0.1390814	0.007700042	0.01932198	0.00481984	0.619716	0.0406658	0.334799	0.0716994	0.0716994	0.248206	0.248206	-2.635273	1.241778
65	-56436.99	-56433.83	-3.154465	0.00379203	0.00379203	0.00412021	0.00412021	-5.574854	0.0830015	0.01110335	0.1572168	0.005934932	0.01578694	0.0106465	0.159993	0.0898263	0.739534	0.0628304	0.0628304	0.217504	0.217504	-2.767316	1.241778
66	-56416.4	-56412.96	-3.444689	0.00379203	0.00379203	0.0029968	0.0029968	-5.574854	-0.2353559	0.01110335	0.1528596	0.005554339	0.01578694	0.0163611	0.245871	0.138041	0.599727	0.0597312	0.0597312	0.275328	0.275328	-2.8179	1.528107
67	-56414.87	-56414.1	-0.7720171	0.0199737	0.0199737	0.015785	0.015785	-3.913339	-0.2353559	0.01110335	0.1840891	0.005554339	0.02659442	0.602042	0.221335	0.137947	0.038676	0.0597312	0.0597312	0.261707	0.261707	-2.8179	1.477369
68	-56404.87	-56403.93	-0.9390508	0.01753	0.01753	0.0138538	0.0138538	-4.04384	-0.2353559	0.006189595	0.1746187	0.005825237	0.02659442	0.271687	0.106515	0.587581	0.0342167	0.0597312	0.0597312	0.261707	0.261707	-2.8179	1.477369
69	-56431.78	-56431.15	-0.6288094	0.016151	0.016151	0.013388	0.013388	-4.125774	-0.1876192	0.01641349	0.1475621	0.003384616	0.02123799	0.191143	0.055358	0.209013	0.544486	0.059193	0.059193	0.259348	0.259348	-2.826951	1.477369
70	-56424.61	-56423.66	-0.9540952	0.016151	0.016151	0.0118809	0.0118809	-4.125774	-0.307047	0.01641349	0.1802806	0.005417733	0.02123799	0.281262	0.081458	0.307557	0.329723	0.0554523	0.0554523	0.242959	0.242959	-2.892231	1.477369
71	-56435.44	-56434.71	-0.7298153	0.0183974	0.0183974	0.0135334	0.0135334	-3.995547	-0.307047	0.02142941	0.160572	0.005417733	0.02123799	0.281262	0.081458	0.307557	0.329723	0.0624906	0.0624906	0.273796	0.273796	-2.77274	1.477369
72	-56459.05	-56458.36	-0.6880062	0.0183974	0.0183974	0.0135334	0.0135334	-3.995547	-0.307047	0.02864064	0.1447116	0.005417733	0.02305304	0.399058	0.0881573	0.155945	0.35684	0.0621956	0.0621956	0.252168	0.252168	-2.77747	1.399812
73	-56452.35	-56452.02	-0.3322085	0.0486938	0.0486938	0.0180583	0.0180583	-3.022203	-0.9919485	0.01610949	0.1988444	0.005417733	0.02305304	0.253521	0.420707	0.0990715	0.2267	0.0621956	0.0621956	0.252168	0.252168	-2.77747	1.399812
74	-56441.31	-56441.25	-0.05439241	0.053078	0.053078	0.0253171	0.0253171	-2.935994	-0.7402834	0.01610949	0.2271278	0.005417733	0.02305304	0.282912	0.353551	0.110557	0.252981	0.073748	0.073748	0.299007	0.299007	-2.607101	1.399812
75	-56413.08	-56412.55	-0.5369393	0.0344112	0.0344112	0.0164134	0.0164134	-3.369372	-0.7402834	0.0100856	0.2305139	0.008233397	0.02305304	0.139368	0.745184	0.0544626	0.0609851	0.074995	0.074995	0.308165	0.308165	-2.590333	1.413212
76	-56415.28	-56414.98	-0.300865	0.0344112	0.0344112	0.0235517	0.0235517	-3.369372	-0.3791835	0.0100856	0.2336518	0.008233397	0.02151616	0.285138	0.659509	0.00137959	0.0539735	0.0753975	0.0753975	0.309818	0.309818	-2.584981	1.413212
