Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
60	-55910.38	-55904.39	-5.990776	0.0159301	0.0311421	0.0386684	0.0755937	-4.13955	-3.4692	0.886813	1.42209	0.005397562	0.2055077	0.006260882	0.01587759	0.0363565	0.0438178	0.779598	0.140228	0.0626552	0.078855	0.279118	0.351286	-2.77011	-2.54014	1.49399	0.173402
61	-55893.24	-55888.53	-4.71232	0.0182091	0.0491575	0.00939593	0.0253654	-4.00584	-3.01273	-0.661643	-0.321078	0.02104483	0.2055077	0.006260882	0.0319054	0.581776	0.0190171	0.338348	0.0608593	0.0626552	0.0802911	0.279118	0.357683	-2.77011	-2.5221	1.49399	0.127825
62	-55893.61	-55881.12	-12.49546	0.00100256	0.0161712	0.00303031	0.0488783	-6.9052	-4.12453	1.1061	-0.376524	0.02326278	0.169198	0.003601521	0.03646094	0.315784	0.0103224	0.640859	0.0330341	0.0580851	0.0802911	0.252995	0.349715	-2.84585	-2.5221	1.47146	0.127825
63	-55925.4	-55914.7	-10.70055	0.00334234	0.00995696	0.0101024	0.0300955	-5.70108	-4.60948	1.1061	0.221597	0.0321017	0.1380997	0.003027738	0.03989669	0.869741	0.0110013	0.0840512	0.0352068	0.0580851	0.0607287	0.252995	0.264509	-2.84585	-2.80134	1.47146	1.12873
64	-55890.69	-55878.07	-12.6252	0.00309982	0.0327426	0.000405276	0.00428084	-5.77641	-3.41908	-2.03453	0.221597	0.01963338	0.1788298	0.004193821	0.02254326	0.869741	0.0110013	0.0840512	0.0352068	0.0510647	0.0597461	0.245435	0.287161	-2.97466	-2.81765	1.56994	2.82508
65	-55892.63	-55883.19	-9.439603	0.00679767	0.0180977	0.000888741	0.00236613	-4.99118	-4.01197	-2.03453	0.221597	0.007447025	0.1153969	0.004193821	0.0128097	0.869741	0.0110013	0.0840512	0.0352068	0.0484826	0.0458765	0.214764	0.20322	-3.02655	-3.0818	1.48833	1.0861
66	-55934.44	-55930.09	-4.345588	0.0385848	0.0662783	0.0151561	0.0260341	-3.2549	-2.71389	-0.934455	0.221597	0.0003174806	0.095395	0.004527139	0.01479878	0.916215	0.00707618	0.0540628	0.0226455	0.0540237	0.0458765	0.24104	0.204689	-2.91833	-3.0818	1.49554	0.844917
67	-55884.64	-55880.18	-4.455921	0.0344743	0.0430986	0.0180917	0.0226177	-3.36754	-3.14426	-0.644758	0.221597	0.001908799	0.09688089	0.004527139	0.03658152	0.915504	0.00784747	0.0540208	0.0226279	0.0583976	0.071801	0.212672	0.261485	-2.84048	-2.63386	1.29248	0.844917
68	-55836.26	-55828.39	-7.864937	0.0161046	0.0430986	0.00330604	0.00884754	-4.12865	-3.14426	-1.58335	1.2296	0.003371329	0.1426868	0.005686512	0.03637536	0.0118036	0.394376	0.418516	0.175305	0.0653178	0.071801	0.237874	0.261485	-2.72849	-2.63386	1.29248	1.5651
69	-55882.05	-55876.7	-5.357353	0.03326	0.0582405	0.00682782	0.011956	-3.4034	-2.84317	-1.58335	-1.35981	0.00644485	0.1555144	0.005686512	0.0318786	0.0187223	0.625541	0.133132	0.222604	0.0844762	0.0640734	0.248699	0.188633	-2.47129	-2.74773	1.07977	0.0891766
70	-55868.59	-55862.87	-5.727913	0.0274969	0.0684432	0.00561901	0.0139864	-3.59368	-2.68175	-1.58792	-1.35981	0.004340684	0.2213149	0.007975115	0.02423883	0.0193757	0.67376	0.137778	0.169086	0.0844762	0.0713761	0.301237	0.254523	-2.47129	-2.63979	1.27143	0.0891766
71	-55877.68	-55870.97	-6.710877	0.0340488	0.0307434	0.00695789	0.00628244	-3.37996	-3.48208	-1.58792	-1.82906	0.006501655	0.2494874	0.005334857	0.02423883	0.0475405	0.199532	0.338054	0.414873	0.0816906	0.0713761	0.335236	0.292908	-2.50482	-2.63979	1.4119	0.0891766
72	-56015.88	-56009.41	-6.473947	0.0428745	0.0394373	0.0156465	0.0143921	-3.14948	-3.23304	-1.00803	-1.82906	0.02544872	0.407195	0.006960683	0.01175338	0.0475405	0.199532	0.338054	0.414873	0.0891984	0.0687725	0.41825	0.322473	-2.41689	-2.67695	1.54522	0.881629
