Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
122	-56403.27	-56399.35	-3.915687	0.00704433	0.0521368	-4.95553	-2.95388	-2.01958	-1.83872	0.005033344	0.03153877	0.581728	0.418272	0.132712	0.159022
123	-56447.74	-56444.75	-2.998026	0.0136717	0.0521368	-4.29242	-2.95388	-2.13493	-1.71919	0.005909578	0.03692425	0.244097	0.755903	0.118252	0.179212
124	-56408.05	-56404.25	-3.795797	0.00735827	0.0762474	-4.91193	-2.57377	-2.03275	-1.755	0.005909578	0.03019025	0.244097	0.755903	0.130975	0.172908
125	-56412.45	-56408.85	-3.596506	0.00735827	0.0762474	-4.91193	-2.57377	-2.05685	-1.755	0.004710947	0.02594387	0.818405	0.181595	0.127856	0.172908
126	-56404.06	-56399.64	-4.417744	0.00495958	0.0607723	-5.30643	-2.80062	-2.02215	-1.88219	0.004710947	0.02594387	0.818405	0.181595	0.132371	0.152256
127	-56406.91	-56403.01	-3.891538	0.00739358	0.0607723	-4.90714	-2.80062	-2.03347	-1.95923	0.008618596	0.02594387	0.818405	0.181595	0.13088	0.140966
128	-56401.27	-56397.12	-4.143462	0.00588214	0.0607723	-5.13583	-2.80062	-2.08771	-1.95923	0.005965527	0.02594387	0.24012	0.75988	0.12397	0.140966
129	-56411.85	-56407.58	-4.26749	0.00588214	0.0362278	-5.13583	-3.31793	-2.07656	-1.84584	0.004367956	0.0243465	0.24012	0.75988	0.125361	0.157893
130	-56401.51	-56397.42	-4.092309	0.00623609	0.0544739	-5.0774	-2.91003	-2.05645	-2.06427	0.006611676	0.02543934	0.24012	0.75988	0.127907	0.126911
131	-56401.25	-56397.05	-4.200733	0.00623609	0.0652482	-5.0774	-2.72956	-2.05645	-1.84438	0.006611676	0.03174871	0.573327	0.426673	0.127907	0.158123
132	-56405.41	-56401.26	-4.155961	0.00623609	0.0652482	-5.0774	-2.72956	-2.05645	-2.00232	0.006611676	0.03174871	0.573327	0.426673	0.127907	0.135021
133	-56433.26	-56429.02	-4.241518	0.00623609	0.0652482	-5.0774	-2.72956	-2.15284	-1.75529	0.006908009	0.03174871	0.686147	0.313853	0.116154	0.172857
134	-56399.61	-56395.45	-4.157054	0.00623609	0.0636079	-5.0774	-2.75502	-2.06479	-1.87265	0.006101111	0.03174871	0.710908	0.289092	0.126846	0.153715
135	-56410.81	-56408.03	-2.778121	0.0149134	0.0636079	-4.2055	-2.75502	-2.05363	-1.89508	0.00737305	0.03174871	0.710908	0.289092	0.128269	0.150306
136	-56408.57	-56404.73	-3.838047	0.0105075	0.0297868	-4.55567	-3.51369	-2.05363	-1.89508	0.00562478	0.04793801	0.710908	0.289092	0.128269	0.150306
137	-56424.29	-56421.49	-2.79941	0.0222666	0.0297868	-3.80467	-3.51369	-2.04152	-1.81681	0.005252295	0.04645074	0.574704	0.425296	0.129831	0.162543
138	-56425.75	-56423.22	-2.52707	0.0222666	0.0435295	-3.80467	-3.13432	-2.05785	-1.81681	0.006085144	0.04112806	0.247556	0.752444	0.127729	0.162543
139	-56407.78	-56405.28	-2.494269	0.0222666	0.0350563	-3.80467	-3.3508	-1.99376	-1.88779	0.004363689	0.04112806	0.247556	0.752444	0.136182	0.151406
140	-56416.54	-56413.75	-2.789679	0.0222666	0.0350563	-3.80467	-3.3508	-1.99376	-2.02249	0.00707719	0.04816418	0.247556	0.752444	0.136182	0.132325
141	-56408.78	-56405.48	-3.3008	0.0199081	0.0136595	-3.91663	-4.29332	-1.99376	-2.02249	0.003206141	0.03062385	0.481862	0.518138	0.136182	0.132325
